Size,Width,Height
M1-0.25, 2.5, 0.8
M1.2-0.25, 3, 1
M1.4-0.3, 3, 1.2
M1.6-0.35, 3.2, 1.3
M2-0.4, 4, 1.6
M2.5-0.45, 5, 2
M3-0.5, 5.5, 2.4
M3.5-0.6, 6, 2.8
M4-0.7, 7, 3.2
M5-0.8, 8, 4
M6-1, 10, 5
M7-1, 11, 5.5
M8-1.25, 13, 6.5
M8-1, 13, 6.5
M10-1.25, 17, 8
M10-1.5, 17, 8
M10-1, 17, 8
M12-1.25, 19, 10
M12-1.5, 19, 10
M12-1.75, 19, 10
M12-1, 19, 10
M14-1.5, 22, 11
M14-2, 22, 11
M16-1.5, 24, 13
M16-2, 24, 13
M18-1.5, 27, 15
M18-2.5, 27, 15
M20-1.5, 30, 16
M20-2.5, 30, 16
M20-2, 30, 14.3
M22-1.5, 32, 18
M22-2.5, 32, 18
M24-1.5, 36, 19
M24-2, 36, 19
M24-3, 36, 19
M27-1.5, 41, 20.7
M27-2, 41, 20.7
M27-3, 41, 22
M30-1.5, 46, 24
M30-2, 46, 22.7
M30-3.5, 46, 24
M33-1.5, 50, 24.7
M33-2, 50, 24.7
M33-3.5, 50, 24.7
M36-1.5, 55, 29
M36-3, 55, 27.4
M36-4, 55, 29
M42-4.5, 65, 34
M48-5, 75, 38
