Size,iso7089:d1,iso7089:d2,iso7089:h,iso7091:d1,iso7091:d2,iso7091:h,iso7093:d1,iso7093:d2,iso7093:h,iso7094:d1,iso7094:d2,iso7094:h
M1.6,1.7,4,0.35,1.8,4,0.4,,,,,,
M1.7,1.8,4.5,0.35,,,,,,,,,
M2,2.2,5,0.35,2.4,5,0.4,,,,,,
M2.3,2.5,6,0.55,,,,,,,,,
M2.5,2.7,6,0.55,2.9,6,0.6,2.7,8,0.9,,,
M2.6,2.8,7,0.55,,,,,,,,,
M3,3.2,7,0.55,3.4,7,0.6,3.2,9,0.9,,,
M3.5,3.7,8,0.55,,,,3.7,11,0.9,,,
M4,4.3,9,0.9,4.5,9,1,4.3,12,1.1,,,
M5,5.3,10,1.1,5.5,10,1.2,5.3,15,1.4,5.5,18,2.3
M6,6.4,12,1.8,6.6,12,1.9,6.4,18,1.8,6.6,22,2.3
M7,7.4,14,1.8,,,,7.4,22,2.2,,,
M8,8.4,16,1.8,9,16,1.9,8.4,24,2.2,9,28,3.6
M10,10.5,20,2.2,11,20,2.3,10.5,30,2.7,11,34,3.6
M12,13,24,2.7,13.5,24,2.8,13,37,3.3,13.5,44,4.6
M14,15,28,2.7,,,,15,44,3.3,,,
M16,17,30,3.3,17.5,30,3.6,17,50,3.3,17.5,56,6
M18,19,34,3.3,,,,20,56,4.6,,,
M20,21,37,3.3,22,37,3.6,22,60,4.6,22,72,7
M22,23,39,3.3,,,,,,,,,
M24,25,44,4.3,26,44,4.6,26,72,6,26,85,7
M26,27,50,4.3,,,,,,,,,
M27,28,50,4.3,,,,,,,,,
M28,29,50,4.3,,,,,,,,,
M30,31,56,4.3,33,56,4.6,33,92,7,33,105,7
M32,33,60,5.6,,,,,,,,,
M33,34,60,5.6,,,,,,,,,
M35,36,66,5.6,,,,,,,,,
M36,37,66,5.6,39,66,6,39,110,9.2,39,125,9.2
M42,,,,45,78,9.2,,,,,,
M48,,,,52,92,9.2,,,,,,
M56,,,,62,105,11.2,,,,,,
M64,,,,70,115,11.2,,,,,,
