Size,iso2010:a,iso2010:dk,iso2010:k,iso2010:n,iso2010:rf,iso2010:t,iso2010:short,iso2010:long,iso7047:a,iso7047:dk ,iso7047:k,iso7047:rf ,iso7047:recess,iso7047:short,iso7047:long,iso14584:a,iso14584:dk,iso14584:k,iso14584:rf,iso14584:recess,iso14584:short,iso14584:long
M1-0.25,90,1.9,0.6,0.45,2,0.4,2,5,,,,,,,,,,,,,,
M1.2-0.25,90,2.3,0.72,0.5,2.5,0.5,2,6,,,,,,,,,,,,,,
M1.4-0.3,90,2.6,0.84,0.5,3,0.52,2,10,,,,,,,,,,,,,,
M1.6-0.35,90,3,0.96,0.6,3,0.65,2,10,90,3,0.96,3,PH0,3,16,,,,,,,
M2-0.4,90,3.8,1.2,0.7,4,0.8,3,18,90,3.8,1.2,4,PH1,3,20,90,4.4,1.2,4,T6,3,20
M2.5-0.45,90,4.7,1.5,0.8,5,1,3,25,90,4.7,1.5,5,PH1,3,25,90,5.5,1.5,5,T8,3,25
M3-0.5,90,5.6,1.65,1,6,1.2,4,30,90,5.6,1.65,6,PH1,4,30,90,6.3,1.65,6,T10,4,30
M3.5-0.6,90,6.5,1.93,1,7,1.4,4,35,90,6.5,1.93,7,PH2,4,35,90,8.2,2.35,8.5,T15,5,35
M4-0.7,90,7.5,2.2,1.2,8,1.6,5,40,90,7.5,2.2,8,PH2,5,40,90,9.4,2.7,9.5,T20,5,40
M5-0.8,90,9.2,1.25,1.51,10,2,6,50,90,9.2,1.25,10,PH2,6,50,90,10.4,2.7,9.5,T25,6,50
M6-1,90,11,1.5,1.91,12,2.4,8,50,90,11,1.5,12,PH3,8,50,90,12.6,3.3,12,T30,8,60
M8-1.25,90,14.5,2,2.31,16,3.2,10,55,90,14.5,2,16,PH4,10,55,90,17.3,4.65,16.5,T45,10,60
M10-1.5,90,18,2.5,2.81,20,4,12,60,90,18,2.5,20,PH4,12,60,90,20,5,19.5,T50,12,60
