Size,SKT:d,SKT:D,SKT:B,SKT:C,SKT:C0,SKT:Pu,SKT:Speed-reference,SKT:Speed-limit,SKT:mass,SKT:Designation,SKT:d1,SKT:D1,SKT:r12,SKT:damin,SKT:damax,SKT:Da,SKT:ra,SKT:kr,SKT:f0
M3-10-4,3,10,4,0.54,0.18,0.007,130000,60000,0.0015,623-2Z,5.2,8.2,0.15,4.2,5.1,8.8,0.1,0.025,7.5
M4-9-3.5,4,9,3.5,0.54,0.18,0.07,140000,70000,0.001,628/4-2Z,5.2,8.1,0.1,4.6,5.1,8.4,0.1,0.015,10
M4-9-4,4,9,4,0.54,0.18,0.07,140000,70000,0.0013,638/4-2Z,5.2,8.1,0.1,4.6,5.1,8.4,0.1,0.015,10
M4-11-4,4,11,4,0.624,0.18,0.008,130000,63000,0.0017,619/4-2Z,6.1,9.9,0.15,4.8,5.8,10.2,0.1,0.02,6.4
M4-12-4,4,12,4,0.806,0.28,0.012,120000,60000,0.0021,604-2Z,6.1,9.8,0.2,5.4,6,10.6,0.2,0.025,10
M4-13-5,4,13,5,0.936,0.29,0.012,110000,53000,0.0031,624-2Z,6.7,11.2,0.2,5.8,6.6,11.2,0.2,0.025,7.3
M4-16-5,4,16,5,1.11,0.38,0.016,95000,48000,0.0054,634-2Z,8.4,13.3,0.3,6.4,8.3,13.6,0.3,0.03,8.4
M5-11-4,5,11,4,0.64,0.26,0.011,120000,60000,0.0014,628/5-2Z,6.8,9.9,0.15,5.8,6.7,10.2,0.1,0.015,11
M5-11-5,5,11,5,0.64,0.26,0.011,120000,60000,0.0016,638/5-2Z,6.2,9.9,0.15,5.8,6,10.2,0.1,0.015,11
M5-13-4,5,13,4,0.884,0.335,0.014,110000,56000,0.0025,619/5-2Z,7.5,11.2,0.2,6.4,7.5,11.6,0.2,0.02,11
M5-16-5,5,16,5,1.14,0.38,0.016,104000,55000,0.005,E2.625-2Z,8.4,13.3,0.3,7.4,8.3,13.6,0.3,0.025,8.4
M5-19-6,5,19,6,2.21,0.95,0.04,90000,47000,0.009,E2.635-2Z,11.1,16.5,0.3,7.4,10.6,16.6,0.3,0.03,13
M6-13-5,6,13,5,0.88,0.35,0.015,110000,53000,0.0026,628/6-2Z,7.4,11.7,0.15,6.8,7.2,12.2,0.1,0.015,11
M6-15-5,6,15,5,0.884,0.27,0.011,100000,50000,0.0039,619/6-2Z,8.2,13,0.2,7.4,8,13.6,0.2,0.02,6.8
M6-19-6,6,19,6,2.21,0.95,0.04,90000,47000,0.0084,E2.626-2Z,11.1,16.5,0.3,8.4,11,16.6,0.3,0.025,13
M7-14-5,7,14,5,0.956,0.4,0.017,100000,50000,0.0031,628/7-2Z,8.5,12.7,0.15,7.8,8,13.2,0.1,0.015,11
M7-17-5,7,17,5,1.06,0.375,0.016,90000,45000,0.0049,619/7-2Z,10.4,14.3,0.3,9,9.7,15,0.3,0.02,7.3
M7-19-6,7,19,6,2.21,0.95,0.04,90000,47000,0.008,E2.607-2Z,11.1,16.5,0.3,9,11,17,0.3,0.025,13
M8-16-5,8,16,5,1.33,0.57,0.024,90000,45000,0.0036,628/8-2Z,10.1,14.2,0.2,9.4,10,14.6,0.2,0.015,11
M8-16-6,8,16,6,1.33,0.57,0.024,90000,45000,0.0043,638/8-2Z,9.6,14.2,0.2,9.4,9.5,14.6,0.2,0.015,11
M8-19-6,8,19,6,1.46,0.465,0.02,85000,43000,0.0071,619/8-2Z,9.8,16.7,0.3,9.5,9.8,17,0.3,0.02,6.6
M8-22-7,8,22,7,3.32,1.37,0.06,80000,42000,0.012,E2.608-2Z,12.1,19.2,0.3,10,12,20,0.3,0.025,12
M8-22-11,8,22,11,3.45,1.37,0.057,–,22000,0.016,630/8-2RS1,11.8,19,0.3,10,11.7,20,0.3,0.025,12
M8-24-8,8,24,8,3.71,1.66,0.072,75000,37000,0.017,E2.628-2Z,14.4,21.2,0.3,10.4,14.4,21.6,0.3,0.025,13
M8-28-6,8,28,6,1.33,0.57,0.024,60000,30000,0.03,638-2RZ,14.8,22.6,0.3,10.4,14.7,25.6,0.3,0.03,12
