Size,SKT:d,SKT:D,SKT:B,SKT:C,SKT:C0,SKT:Pu,SKT:Speed-reference,SKT:Speed-limit,SKT:mass,SKT:Designation,SKT:d1,SKT:D1,SKT:D2,SKT:r12,SKT:da,SKT:Da,SKT:ra,SKT:kr,SKT:f0
M3-10-4,3,10,4,0.54,0.18,0.007,130000,80000,0.0015,623,5.2,7.5,8.2,0.15,4.2,8.8,0.1,0.025,7.5
M4-9-2.5,4,9,2.5,0.423,0.116,0.005,140000,85000,0.0007,618/4,5.2,7.5,–,0.1,4.6,8.4,0.1,0.015,6.5
M4-11-4,4,11,4,0.624,0.18,0.008,130000,80000,0.0017,619/4,6.1,9,9.9,0.15,4.8,10.2,0.1,0.02,6.4
M4-12-4,4,12,4,0.806,0.28,0.012,120000,75000,0.0021,604,6.1,9.9,–,0.2,5.4,10.6,0.2,0.025,10
M4-13-5,4,13,5,0.936,0.29,0.012,110000,67000,0.0031,624,6.7,10.3,11.2,0.2,5.8,11.2,0.2,0.025,10
M4-16-5,4,16,5,1.11,0.38,0.016,95000,60000,0.0054,634,8.4,12,13.3,0.3,6.4,13.6,0.3,0.03,8.4
M5-11-3,5,11,3,0.468,0.143,0.006,120000,75000,0.0012,618/5,6.8,9.2,–,0.15,5.8,10.2,0.1,0.015,7.1
M5-13-4,5,13,4,0.884,0.335,0.014,110000,70000,0.0025,619/5,7.5,10.5,11.2,0.2,6.4,11.6,0.2,0.02,11
M5-16-5,5,16,5,1.14,0.38,0.016,95000,60000,0.005,* 625,8.4,12,13.3,0.3,7.4,13.6,0.3,0.025,8.4
M5-19-6,5,19,6,2.34,0.95,0.04,80000,50000,0.0085,* 635,11.1,15.2,16.5,0.3,7.4,16.6,0.3,0.03,13
M6-13-3.5,6,13,3.5,0.715,0.224,0.01,110000,67000,0.002,618/6,8,11,–,0.15,6.8,12.2,0.1,0.015,7
M6-15-5,6,15,5,0.884,0.27,0.011,100000,63000,0.0039,619/6,8.2,11.7,13,0.2,7.4,13.6,0.2,0.02,6.8
M6-19-6,6,19,6,2.34,0.95,0.04,80000,50000,0.0081,* 626,11.1,15.2,16.5,0.3,8.4,16.6,0.3,0.025,13
M7-14-3.5,7,14,3.5,0.78,0.26,0.011,100000,63000,0.0022,618/7,9,12,–,0.15,7.8,13.2,0.1,0.015,7.2
M7-17-5,7,17,5,1.06,0.375,0.016,90000,56000,0.0049,619/7,10.4,13.6,14.3,0.3,9,15,0.3,0.02,7.3
M7-19-6,7,19,6,2.34,0.95,0.04,85000,53000,0.0076,* 607,11.1,15.2,16.5,0.3,9,17,0.3,0.025,13
M7-22-7,7,22,7,3.45,1.37,0.057,70000,45000,0.012,* 627,12.1,17.6,19.2,0.3,9.4,19.6,0.3,0.025,12
M8-16-4,8,16,4,0.819,0.3,0.012,90000,56000,0.003,618/8,10.5,13.5,–,0.2,9.4,14.6,0.2,0.015,7.5
M8-19-6,8,19,6,1.46,0.465,0.02,85000,53000,0.0071,619/8,10.5,15.5,16.7,0.3,10,17,0.3,0.02,6.6
M8-22-7,8,22,7,3.45,1.37,0.057,75000,48000,0.012,* 608,12.1,17.6,19.2,0.3,10,20,0.3,0.025,12
M8-24-8,8,24,8,3.9,1.66,0.071,63000,40000,0.018,* 628,14.4,19.8,21.2,0.3,10.4,21.6,0.3,0.025,13
M9-17-4,9,17,4,0.871,0.34,0.014,85000,53000,0.0034,618/9,11.5,14.5,–,0.2,10.4,15.6,0.2,0.015,7.7
M9-20-6,9,20,6,2.34,0.98,0.043,80000,50000,0.0076,619/9,11.6,16.2,17.5,0.3,11,18,0.3,0.02,12
M9-24-7,9,24,7,3.9,1.66,0.071,70000,43000,0.014,* 609,14.4,19.8,21.2,0.3,11,22,0.3,0.025,13
M9-26-8,9,26,8,4.75,1.96,0.083,60000,38000,0.02,* 629,14.8,21.2,22.6,0.3,11.4,23.6,0.3,0.025,12
M10-19-5,10,19,5,1.72,0.83,0.036,80000,48000,0.0053,61800,12.7,16.3,–,0.3,12,17,0.3,0.015,15
M10-22-6,10,22,6,2.7,1.27,0.054,70000,45000,0.01,61900,13.9,18.2,–,0.3,12,20,0.3,0.02,14
M10-26-8,10,26,8,4.75,1.96,0.083,67000,40000,0.019,* 6000,14.8,21.2,22.6,0.3,12,24,0.3,0.025,12
M10-28-8,10,28,8,5.07,2.36,0.1,60000,38000,0.024,16100,17,23.2,24.8,0.3,14.2,23.8,0.3,0.025,13
M10-30-9,10,30,9,5.4,2.36,0.1,56000,36000,0.031,* 6200,17,23.2,24.8,0.6,14.2,25.8,0.6,0.025,13
M10-35-11,10,35,11,8.52,3.4,0.143,50000,32000,0.053,* 6300,17.5,26.9,28.7,0.6,14.2,30.8,0.6,0.03,11
