Size,Soft,Hard
M1.5-0.35,1.15,1.25
M1.6-0.35,1.25,1.35
M1.8-0.35,1.45,1.55
M2-0.45,1.55,1.7
M2-0.4,1.6,1.75
M2.2-0.45,1.75,1.9
M2.5-0.45,2.05,2.2
M3-0.6,2.4,2.6
M3-0.5,2.5,2.7
M3.5-0.6,2.9,3.1
M4-0.75,3.25,3.5
M4-0.7,3.3,3.5
M4.5-0.75,3.75,4
M5-1,4,4.4
M5-0.9,4.1,4.4
M5-0.8,4.2,4.5
M5.5-0.9,4.6,4.9
M6-1,5,5.4
M6-0.75,5.25,5.5
M7-1.0,6,6.4
M7-0.75,6.25,6.5
M8-1.25,6.8,7.2
M8-1,7,7.4
M9-1.25,7.8,8.2
M9-1,8,8.4
M10-1.5,8.5,9
M10-1.25,8.8,9.2
M10-1,9,9.4
M11-1.5,9.5,10
M12-1.75,10.3,10.9
M12-1.5,10.5,11
M12-1.25,10.8,11.2
M14-2,12.1,12.7
M14-1.5,12.5,13
M14-1.25,12.8,13.2
M15-1.5,13.5,14
M16-2,14,14.75
M16-1.5,14.5,15
M17-1.5,15.5,16
M18-2.5,15.5,16.5
M18-2,16,16.75
M18-1.5,16.5,17
M19-2.5,16.5,17.5
M20-2.5,17.5,18.5
M21-2,18,18.5
M22-2.5,18.5,19
#0-80,3/64,#55
#1-64,#53,1/16
#1-72,#53,#52
#2-56,#50,#49
#2-64,#50,#48
#3-48,#47,#44
#3-56,#45,#43
#4-40,#43,#41
#4-48,#42,#40
#5-40,#38,7/64
#5-44,#37,#35
#6-32,#36,#32
#6-40,#33,#31
#8-32,#29,#27
#8-36,#29,#26
#10-24,#25,#20
#10-32,#21,#18
#12-24,#16,#12
#12-28,#14,#10
#12-32,#13,#9
1/4-20,#7,7/32
1/4-28,#3,#1
1/4-32,7/32,#1
5/16-18,F,J
5/16-24,I,9/32
5/16-32,9/32,L
3/8-16,5/16,Q
3/8-24,Q,S
3/8-32,11/32,T
7/16-14,U,25/64
7/16-20,25/64,13/32
7/16-28,Y,Z
1/2-13,27/64,29/64
1/2-20,29/64,15/32
1/2-28,15/32,15/32
9/16-12,31/64,33/64
9/16-18,33/64,17/32
9/16-24,33/64,17/32
5/8-11,17/32,9/16
5/8-18,37/64,19/32
5/8-24,37/64,19/32
11/16-24,41/64,21/32
3/4-10,21/32,11/16
3/4-16,11/16,45/64
3/4-20,45/64,23/32
13/16-20,49/64,25/32
7/8-9,49/64,51/64
7/8-14,13/16,53/64
7/8-20,53/64,27/32
15/16-20,57/64,29/32
1-8,7/8,59/64
1-12,15/16,61/64
1-20,61/64,31/32
